,School Name,BoroughCode,Geographical District,Project Description,Construction Award,Project type,Building ID,Building Address,City,Postcode,Borough,Location 1,Latitude,Longitude,Community Board,Community Council ,Census Tract,BIN,BBL,NTA
356,P.S. 32 ADDITION - BROOKLYN,K,15,Addition,74426000.0,CAP,K032,317 HOYT STREET,Brooklyn,11231.0,BROOKLYN ,"(40.680445, -73.991949)",40.680445,-73.991949,6.0,39.0,75.0,3395587.0,3004370001.0,Carroll Gardens-Columbia Street-Red Hook                                   
357,P.S. 101 - BROOKLYN,K,21,Addition,65999000.0,CAP,K101,2360 BENSON AVENUE,Brooklyn,11214.0,BROOKLYN ,"(40.597863, -73.991693)",40.597863,-73.991693,11.0,47.0,302.0,3185973.0,3068750032.0,Bensonhurst East                                                           
358,EDUCATIONAL CAMPUS @ 500 19TH STREET - BROOKLYN,K,15,Lease,15400000.0,CAP,K280,500 19TH STREET,Brooklyn,11215.0,BROOKLYN ,"(40.656944, -73.983115)",40.656944,-73.983115,7.0,38.0,1502.0,3017307.0,3008890001.0,Windsor Terrace                                                            
360,P.S./I.S. 338 - BROOKLYN,K,22,New,67683691.0,CAP,K338,21 HINCKLEY PLACE,Brooklyn,11218.0,BROOKLYN ,"(40.644469, -73.971032)",40.644469,-73.971032,12.0,40.0,492.0,3124801.0,3053420006.0,Kensington-Ocean Parkway                                                   
362,PRE-K CENTER @ 369 93RD STREET - BROOKLYN,K,20,New,27637000.0,CAP,K613,369 93RD STREET,Brooklyn,11209.0,BROOKLYN ,"(40.618041, -74.031381)",40.618041,-74.031381,10.0,43.0,58.0,3155119.0,3061030042.0,Bay Ridge                                                                  
363,P.S./I.S. @ 3269 ATLANTIC AVENUE - BROOKLYN,K,19,New,14968000.0,CAP,K667,3269 ATLANTIC AVENEUE,Brooklyn,11218.0,,,,,,,,,,
365,P.S. 746 - BROOKLYN,K,20,New,92747000.0,CAP,K746,256 59TH STREET,Brooklyn,11220.0,BROOKLYN ,"(40.643337, -74.021011)",40.643337,-74.021011,7.0,38.0,22.0,3016235.0,3008610029.0,Sunset Park West                                                           
368,P.S. 884 - BROOKLYN,K,84,Lease,2162000.0,CAP,K884,15 SNYDER AVENUE,Brooklyn,11226.0,BROOKLYN ,"(40.648568, -73.957639)",40.648568,-73.957639,14.0,40.0,794.0,3117232.0,3051030101.0,Erasmus                                                                    
369,I.S. 323 - MANHATTAN,M,2,New,98820000.0,CAP,M323,75 MORTON STREET,Manhattan,10014.0,MANHATTAN,"(40.730999, -74.007191)",40.730999,-74.007191,2.0,3.0,69.0,1010407.0,1006030049.0,West Village                                                               
370,P.S. 342 (RIVERSIDE CENTER) - MANHATTAN,M,3,New,74425721.0,CAP,M342,300 WEST 61ST STREET,Manhattan,10023.0,MANHATTAN,"(40.772883, -73.989609)",40.772883,-73.989609,7.0,6.0,151.0,1088870.0,1011717510.0,Lincoln Square                                                             
372,ISHS @ M837,M,78,Lease,13694000.0,CAP,M837,227-243 WEST 61 STREET,Manhattan,10023.0,MANHATTAN,"(40.772007, -73.987479)",40.772007,-73.987479,7.0,6.0,151.0,1030328.0,1011540108.0,Lincoln Square                                                             
373,P.S. 303 - QUEENS,Q,28,Addition,65987000.0,CAP,Q003,108-55 69TH AVENUE,Queens,11375.0,QUEENS   ,"(40.725098, -73.845091)",40.725098,-73.845091,6.0,29.0,739.0,4052265.0,4022180021.0,Forest Hills                                                               
374,P.S. 303 - QUEENS,Q,28,Demo,5183000.0,CAP,Q003,108-55 69TH AVENUE,Queens,11375.0,QUEENS   ,"(40.725098, -73.845091)",40.725098,-73.845091,6.0,29.0,739.0,4052265.0,4022180021.0,Forest Hills                                                               
375,P.S. 11 - QUEENS,Q,30,Addition,91875000.0,CAP,Q011,54-25 SKILLMAN AVENUE,Queens,11377.0,QUEENS   ,"(40.745244, -73.90872)",40.745244,-73.90872,2.0,26.0,251.0,4552510.0,4012390001.0,Woodside                                                                   
376,P.S. 19 - QUEENS,Q,24,Addition,95491911.0,CAP,Q019,98-02 ROOSEVELT AVENUE,Queens,11368.0,QUEENS   ,"(40.749381, -73.867354)",40.749381,-73.867354,4.0,21.0,409.0,4437176.0,4016070001.0,North Corona                                                               
377,P.S. 24 ADDITION - QUEENS,Q,25,Addition,82451000.0,CAP,Q024,141-11 HOLLY AVENUE,Queens,11355.0,QUEENS   ,"(40.75146, -73.817849)",40.75146,-73.817849,7.0,20.0,1205.0,4117403.0,4052010021.0,East Flushing                                                              
378,P.S. 49 - QUEENS,Q,24,Addition,31534000.0,CAP,Q049,63-60 80TH STREET,Queens,11379.0,QUEENS   ,"(40.719867, -73.875093)",40.719867,-73.875093,5.0,30.0,663.0,4069253.0,4029900045.0,Middle Village                                                             
379,P.S. 50 - QUEENS,Q,28,Addition,55182000.0,CAP,Q050,143-26 101 AVENUE,Queens,11435.0,QUEENS   ,"(40.695238, -73.807364)",40.695238,-73.807364,12.0,28.0,206.0,4214461.0,4100240012.0,Jamaica                                                                    
380,P.S. 66 - QUEENS,Q,27,Addition,27737773.0,CAP,Q066,85-11 102 STREET,Queens,11418.0,QUEENS   ,"(40.697836, -73.846558)",40.697836,-73.846558,9.0,32.0,24.0,4191497.0,4091830001.0,Richmond Hill                                                              
381,I.S. 125 ADDITION - QUEENS,Q,24,Addition,83800000.0,CAP,Q125,46-02 47 AVENUE,Queens,11377.0,QUEENS   ,"(40.741131, -73.918945)",40.741131,-73.918945,2.0,26.0,235.0,4052874.0,4022840006.0,Hunters Point-Sunnyside-West Maspeth                                       
383,P.S. 143 - QUEENS,Q,24,Demo,2688000.0,CAP,Q143,34-74 113 STREET,Queens,11368.0,QUEENS   ,"(40.755451, -73.855192)",40.755451,-73.855192,3.0,21.0,381.0,4043827.0,4017560025.0,North Corona                                                               
384,P.S. 143 ADDITION - QUEENS,Q,24,Addition,87980000.0,CAP,Q143,34-74 113 STREET,Queens,11368.0,QUEENS   ,"(40.755451, -73.855192)",40.755451,-73.855192,3.0,21.0,381.0,4043827.0,4017560025.0,North Corona                                                               
385,P.S. 144 - QUEENS,Q,28,Addition,52373773.0,CAP,Q144,93-02 69 AVENUE,Queens,11375.0,QUEENS   ,"(40.714978, -73.853372)",40.714978,-73.853372,6.0,29.0,729.0,4076870.0,4032120001.0,Forest Hills                                                               
386,P.S. 163 - QUEENS,Q,25,Addition,43834000.0,CAP,Q163,159-01 59 AVENUE,Queens,11365.0,QUEENS   ,"(40.740565, -73.809131)",40.740565,-73.809131,7.0,20.0,1215.0,4146042.0,4067260070.0,Queensboro Hill                                                            
387,P.S. 176 - QUEENS,Q,29,Addition,50247000.0,CAP,Q176,120-45 235 STREET,Queens,11411.0,QUEENS   ,"(40.685492, -73.729982)",40.685492,-73.729982,13.0,27.0,614.0,4276382.0,4128200001.0,Cambria Heights                                                            
388,P.S. 128 ADDITION - QUEENS,Q,24,Addition,31821000.0,CAP,Q247,69-10 65TH DRIVE,Queens,11379.0,QUEENS   ,"(40.715344, -73.886215)",40.715344,-73.886215,5.0,30.0,659.0,4070445.0,4030270037.0,Middle Village                                                             
389,P.S. 92 - QUEENS,Q,30,Addition,42410002.0,CAP,Q292,99-01 34TH AVENUE,Queens,11368.0,QUEENS   ,"(40.755418, -73.869017)",40.755418,-73.869017,3.0,21.0,377.0,4042496.0,4017140018.0,North Corona                                                               
390,P.S. 298 - QUEENS,Q,24,New,76850000.0,CAP,Q298,50-51 98TH STREET,Queens,11368.0,QUEENS   ,"(40.742167, -73.864109)",40.742167,-73.864109,4.0,21.0,44302.0,4046832.0,4018910001.0,Corona                                                                     
391,P.S. 335 - QUEENS,Q,27,New,70885000.0,CAP,Q335,150-15 RALEIGH STREET,Queens,11418.0,QUEENS   ,"(40.668127, -73.837189)",40.668127,-73.837189,10.0,32.0,88.0,4000000.0,4115600001.0,Ozone Park                                                                 
392,IS/HS 336 - QUEENS,Q,78,Lease,19987000.0,CAP,Q336,124-06 14TH AVENUE,Queens,11356.0,QUEENS   ,"(40.785327, -73.843749)",40.785327,-73.843749,7.0,19.0,925.0,4098406.0,4040890045.0,College Point                                                              
393,P.S. 398 - QUEENS,Q,30,New,62139000.0,CAP,Q398,69-01 34TH AVENUE,Queens,11377.0,QUEENS   ,"(40.752493, -73.896922)",40.752493,-73.896922,3.0,25.0,291.0,4028492.0,4012420032.0,Jackson Heights                                                            
394,I.S. 419 - QUEENS,Q,24,Demo,6224000.0,CAP,Q419,111-10 ASTORIA BOULEVARD,Queens,11369.0,QUEENS   ,"(40.7599, -73.859218)",40.7599,-73.859218,3.0,21.0,373.0,4000000.0,4017050005.0,East Elmhurst                                                              
395,P.S. 143 ANNEX - QUEENS,Q,24,Lease,5972300.0,CAP,Q908,98-07 38TH AVENUE,Queens,11368.0,QUEENS   ,"(40.750246, -73.867825)",40.750246,-73.867825,3.0,21.0,409.0,4043936.0,4017610035.0,North Corona                                                               
396,D75 REPLACEMENT @ 15 FAIRFIELD STREET - STATEN ISLAND,R,75,Demo,4767365.0,CAP,R089,15 FAIRFIELD STREET,Staten Is,10308.0,STATEN IS,"(40.56397, -74.150885)",40.56397,-74.150885,3.0,51.0,14605.0,5061911.0,5045860001.0,Great Kills                                                                
397,CURTIS HIGH SCHOOL ANNEX - STATEN ISLAND,R,78,Addition,69360558.0,CAP,R453,105B HAMILTON AVENUE,Staten Is,10301.0,STATEN IS,"(40.644735, -74.081222)",40.644735,-74.081222,1.0,49.0,7.0,,,West New Brighton-New Brighton-St. George                                  
398,SUSAN E. WAGNER HS ANNEX - STATEN ISLAND,R,78,Addition,24981900.0,CAP,R462,1220 MANOR ROAD,Staten Is,10314.0,STATEN IS,"(40.596624, -74.124334)",40.596624,-74.124334,2.0,50.0,181.0,5164530.0,5009550100.0,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   
399,P.S. 14 ADDITION - BRONX,X,8,Addition,50850000.0,CAP,X014,3041 BRUCKNER BLVD,Bronx,10461.0,BRONX    ,"(40.835779, -73.825735)",40.835779,-73.825735,10.0,13.0,184.0,2072754.0,2053130092.0,Schuylerville-Throgs Neck-Edgewater Park                                   
400,P.S. 19 - BRONX,X,11,Addition,50877000.0,CAP,X019,4318 KATONAH AVENUE,Bronx,10470.0,BRONX    ,"(40.899295, -73.8675)",40.899295,-73.8675,12.0,11.0,45102.0,2019463.0,2033860001.0,Woodlawn-Wakefield                                                         
401,P.S. 46 ADDITION - BRONX,X,10,Addition,84478000.0,CAP,X046,279 EAST 196 STREET,Bronx,10458.0,BRONX    ,"(40.866827, -73.890725)",40.866827,-73.890725,7.0,15.0,40501.0,2094729.0,2032950001.0,Bedford Park-Fordham North                                                 
402,P.S. 56 - BRONX,X,10,Addition,49723000.0,CAP,X056,341 EAST 207 STREET,Bronx,10467.0,BRONX    ,"(40.875156, -73.875217)",40.875156,-73.875217,7.0,11.0,42902.0,2018457.0,2033510001.0,Norwood                                                                    
403,I.S. 14 - BROOKLYN,K,22,WATER PENETRATION/PLANYC BOILER/PLANYC CLIMATE,8219000.0,CIP,K014,2424 BATCHELDER STREET,Brooklyn,11235.0,BROOKLYN ,"(40.593521, -73.937672)",40.593521,-73.937672,15.0,48.0,596.0,3203617.0,3074240001.0,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             
404,P.S. 21 - BROOKLYN,K,16,LOW VOLTAGE ELECTRICAL SYSTEMS,1037000.0,CIP,K021,180 CHAUNCEY STREET,Brooklyn,11233.0,BROOKLYN ,"(40.680727, -73.926597)",40.680727,-73.926597,3.0,36.0,381.0,3047914.0,3016920017.0,Crown Heights North                                                        
405,P.S. 25 - BROOKLYN,K,16,ROOFS/PARAPETS/EXT MASONRY/EXT DOORS,6297397.0,CIP,K025,787 LAFAYETTE AVENUE,Brooklyn,11221.0,BROOKLYN ,"(40.691037, -73.941342)",40.691037,-73.941342,3.0,36.0,281.0,3049858.0,3017870014.0,Stuyvesant Heights                                                         
406,FREDERICK DOUGLASS ACADEMY IV,K,16,FULL PROGRAM ACCESSIBILITY/LOW VOLTAGE ELECTRICAL,6750000.0,CIP,K026,1014 LAFAYETTE AVENUE,Brooklyn,11221.0,BROOKLYN ,"(40.692126, -73.931731)",40.692126,-73.931731,3.0,36.0,291.0,3393805.0,3016160001.0,Stuyvesant Heights                                                         
407,P.S. 31 - BROOKLYN,K,14,EXTERIOR MASONRY/PARAPETS,3879237.0,CIP,K031,75 MESEROLE AVENUE,Brooklyn,11222.0,BROOKLYN ,"(40.726587, -73.95427)",40.726587,-73.95427,1.0,33.0,561.0,3065299.0,3025950001.0,Greenpoint                                                                 
408,P.S. 34 - BROOKLYN,K,14,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,4448000.0,CIP,K034,131 NORMAN AVENUE,Brooklyn,11222.0,BROOKLYN ,"(40.726135, -73.949649)",40.726135,-73.949649,1.0,33.0,573.0,3065733.0,3026220028.0,Greenpoint                                                                 
409,I.S. 35 - BROOKLYN,K,16,FULL PROGRAM ACCESSIBILITY,8275000.0,CIP,K035,272 MACDONOUGH STREET,Brooklyn,11233.0,BROOKLYN ,"(40.681896, -73.935963)",40.681896,-73.935963,3.0,36.0,273.0,3047054.0,3016740011.0,Stuyvesant Heights                                                         
411,P.S. 44 - BROOKLYN,K,13,PLANYC BOILER/PLANYC CLIMATE CTRL/FIRE ALARM,5862800.0,CIP,K044,432 MONROE STREET,Brooklyn,11221.0,BROOKLYN ,"(40.686592, -73.940747)",40.686592,-73.940747,3.0,36.0,277.0,3051540.0,3018210001.0,Stuyvesant Heights                                                         
412,P.S. 48 - BROOKLYN,K,20,FLOOD ELIMINATION/EXTERIOR MASONRY/WINDOWS,10800000.0,CIP,K048,6015 18 AVENUE,Brooklyn,11204.0,BROOKLYN ,"(40.621871, -73.987396)",40.621871,-73.987396,12.0,44.0,244.0,3132140.0,3055190001.0,Borough Park                                                               
416,K753 SPED - BROOKLYN,K,13,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,4827000.0,CIP,K085,510 CLERMONT AVENUE,Brooklyn,11238.0,BROOKLYN ,"(40.682533, -73.968769)",40.682533,-73.968769,2.0,35.0,179.0,3057521.0,3020080001.0,Fort Greene                                                                
417,I.S. 88 - BROOKLYN,K,15,PLANYC BOILER REPLACEMENT/PLANYC CLIMATE CONTROL,5896000.0,CIP,K088,544 7TH AVENUE,Brooklyn,11215.0,BROOKLYN ,"(40.660024, -73.987637)",40.660024,-73.987637,7.0,38.0,147.0,3331276.0,3008800001.0,Sunset Park West                                                           
418,P.S. 95 - BROOKLYN,K,21,PARAPET/ROOFS/EXT MASONRY,4743000.0,CIP,K095,345 VAN SICKLEN STREET,Brooklyn,11223.0,BROOKLYN ,"(40.595698, -73.97518)",40.595698,-73.97518,15.0,47.0,398.0,3192661.0,3071230066.0,Gravesend                                                                  
420,P.S. 102 - BROOKLYN,K,20,WATER INFILTRATION/ROOFS/EXT MASONRY,11467000.0,CIP,K102,211 72 STREET,Brooklyn,11209.0,BROOKLYN ,"(40.63402, -74.029036)",40.63402,-74.029036,10.0,43.0,68.0,3146491.0,3058900001.0,Bay Ridge                                                                  
421,P.S. 104 - BROOKLYN,K,20,WATER INFILTRATION/FLOOD/PARAPETS/ROOFS,10521000.0,CIP,K104,9115 5TH AVENUE,Brooklyn,11209.0,BROOKLYN ,"(40.618415, -74.028842)",40.618415,-74.028842,10.0,43.0,160.0,3154775.0,3060880001.0,Bay Ridge                                                                  
422,P.S. 105 - BROOKLYN,K,20,EXT MASONRY/FLOOD ELIMINATION/ROOFS,6510000.0,CIP,K105,1031 59 STREET,Brooklyn,11219.0,BROOKLYN ,"(40.632936, -74.00374)",40.632936,-74.00374,12.0,38.0,214.0,3140612.0,3057020001.0,Borough Park                                                               
423,I.S. 349 - BROOKLYN,K,32,SCIENCE LAB UPGRADES/SCIENCE LAB UPGRADES,2039000.0,CIP,K111,35 STARR STREET,Brooklyn,11221.0,BROOKLYN ,"(40.70069, -73.927481)",40.70069,-73.927481,4.0,34.0,423.0,3072497.0,3031850001.0,Bushwick South                                                             
424,P.S. 112 - BROOKLYN,K,20,TCU REMOVAL - PLAYGROUND REDEVELOPMENT,1578914.0,CIP,K112,7115 15 AVENUE,Brooklyn,11228.0,BROOKLYN ,"(40.61978, -74.000792)",40.61978,-74.000792,11.0,43.0,190.0,3157760.0,3061800001.0,Bensonhurst West                                                           
425,P.S. 114 - BROOKLYN,K,18,EXTERIOR MASONRY,2188000.0,CIP,K114,1077 REMSEN AVENUE,Brooklyn,11236.0,BROOKLYN ,"(40.642792, -73.908806)",40.642792,-73.908806,18.0,46.0,964.0,3229159.0,3081600022.0,Canarsie                                                                   
427,P.S. 119 - BROOKLYN,K,22,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,5447000.0,CIP,K119,3829 AVENUE K,Brooklyn,11210.0,BROOKLYN ,"(40.625662, -73.938265)",40.625662,-73.938265,18.0,45.0,734.0,3215816.0,3077860001.0,Flatlands                                                                  
428,P.S. 124 - BROOKLYN,K,15,FLOOD/ROOFS/PARAPETS/EXT MASONRY,3571475.0,CIP,K124,515 4TH AVENUE,Brooklyn,11215.0,BROOKLYN ,"(40.667545, -73.991046)",40.667545,-73.991046,6.0,39.0,141.0,3023391.0,3010340001.0,Park Slope-Gowanus                                                         
429,P.S. 130 - BROOKLYN,K,15,WATER PENETRATION THROUGH EXTERIOR/PARAPETS/ROOFS,12025000.0,CIP,K130,70 OCEAN PARKWAY,Brooklyn,11218.0,BROOKLYN ,"(40.648884, -73.975607)",40.648884,-73.975607,7.0,39.0,500.0,3124019.0,3053190001.0,Windsor Terrace                                                            
430,P.S. 131 - BROOKLYN,K,15,WATER PENETRATION/FLOOD/PARAPETS/ROOFS,12900000.0,CIP,K131,4305 FT HAMILTON PKWY,Brooklyn,11219.0,BROOKLYN ,"(40.641157, -73.993482)",40.641157,-73.993482,12.0,39.0,224.0,3136085.0,3056030001.0,Borough Park                                                               
433,P.S. 137 - BROOKLYN,K,23,EXTERIOR MASONRY/ROOFS,4274979.0,CIP,K137,121 SARATOGA AVENUE,Brooklyn,11233.0,BROOKLYN ,"(40.682458, -73.917088)",40.682458,-73.917088,16.0,41.0,373.0,3040878.0,3015100001.0,Ocean Hill                                                                 
434,P.S. 150 - BROOKLYN,K,23,EXTERIOR MASONRY DEFECTS/FLOOD ELIMINATION/PARAPET,4415000.0,CIP,K150,364 SACKMAN STREET,Brooklyn,11212.0,BROOKLYN ,"(40.66896, -73.904726)",40.66896,-73.904726,16.0,41.0,908.0,3084012.0,3037440009.0,Brownsville                                                                
437,P.S. 160 - BROOKLYN,K,20,EXTERIOR MASONRY/FLOOD ELMNTN/PARAPETS,5700400.0,CIP,K160,5105 FORT HAMILTON PARKWAY,Brooklyn,11219.0,BROOKLYN ,"(40.637322, -73.999215)",40.637322,-73.999215,12.0,44.0,220.0,3138276.0,3056530021.0,Borough Park                                                               
438,P.S. 161 - BROOKLYN,K,17,FLOOD ELIMINATION,2198000.0,CIP,K161,330 CROWN STREET,Brooklyn,11225.0,BROOKLYN ,"(40.666181, -73.949013)",40.666181,-73.949013,9.0,35.0,319.0,3034181.0,3012970026.0,Crown Heights South                                                        
439,P.S. 164 - BROOKLYN,K,20,EXT MASONRY/ROOFS/CLIMATE CTRL/PARAPETS,6597000.0,CIP,K164,4211 14TH AVENUE,Brooklyn,11219.0,BROOKLYN ,"(40.637486, -73.985955)",40.637486,-73.985955,12.0,44.0,232.0,3135976.0,3056000001.0,Borough Park                                                               
440,P.S. 167 - BROOKLYN,K,17,EXT MASONRY - WATER PENETRATION/PARAPETS/ROOFS,10104000.0,CIP,K167,1025 EASTERN PARKWAY,Brooklyn,11213.0,BROOKLYN ,"(40.669001, -73.934635)",40.669001,-73.934635,8.0,35.0,353.0,3037303.0,3013890035.0,Crown Heights North                                                        
441,P.S. 170 - BROOKLYN,K,20,CRACKED EXTERIOR MASONRY,2449037.0,CIP,K170,619 72ND STREET,Brooklyn,11209.0,BROOKLYN ,"(40.630031, -74.018878)",40.630031,-74.018878,10.0,43.0,134.0,3146921.0,3058990001.0,Bay Ridge                                                                  
442,I.S. 171 - BROOKLYN,K,19,WINDOWS/FLOOD ELMNTN/ROOFS/FIRE ALARM/HVAC VTLTN,13290000.0,CIP,K171,528 RIDGEWOOD AVENUE,Brooklyn,11208.0,BROOKLYN ,"(40.68618, -73.869625)",40.68618,-73.869625,5.0,37.0,1184.0,3092456.0,3041340020.0,Cypress Hills-City Line                                                    
443,K077 SPED - BROOKLYN,K,23,ROOFS/FLOOD/PARAPETS/EXT MASONRY/WINDOWS/LEAD SVC,6927000.0,CIP,K178,2163 DEAN STREET,Brooklyn,11233.0,BROOKLYN ,"(40.675024, -73.915778)",40.675024,-73.915778,16.0,41.0,303.0,3038718.0,3014400056.0,Ocean Hill                                                                 
444,P.S. 188 - BROOKLYN,K,21,SANDY:INT/HEATING/ELEC/FLOOD/CLIMATE/VENT/FA,13757000.0,CIP,K188,3314 NEPTUNE AVENUE,Brooklyn,11224.0,BROOKLYN ,"(40.577217, -74.000194)",40.577217,-74.000194,13.0,47.0,328.0,3188726.0,3070060001.0,Seagate-Coney Island                                                       
445,P.S. 191 - BROOKLYN,K,17,EXTERIOR MASONRY/PARAPETS/ROOFS,3497000.0,CIP,K191,1600 PARK PLACE,Brooklyn,11233.0,BROOKLYN ,"(40.672005, -73.924329)",40.672005,-73.924329,8.0,41.0,359.0,3036635.0,3013750012.0,Crown Heights North                                                        
446,P.S. 192 - BROOKLYN,K,20,DETERIORATED WINDOW WELL WALLS/FLOOD/PARAPETS/ROOF,5387000.0,CIP,K192,4715 18 AVENUE,Brooklyn,11204.0,BROOKLYN ,"(40.629303, -73.979995)",40.629303,-73.979995,12.0,44.0,476.0,3128909.0,3054450001.0,Borough Park                                                               
447,I.S. 201 - BROOKLYN,K,20,PARAPETS/EXT MASONRY/CONCRETE/FLOOD/ROOF,20782700.0,CIP,K201,8010 12 AVENUE,Brooklyn,11228.0,BROOKLYN ,"(40.618676, -74.012722)",40.618676,-74.012722,10.0,43.0,166.0,3162973.0,3062780022.0,Dyker Heights                                                              
448,P.S. 208 - BROOKLYN,K,18,CRACKED MASONRY/FLOOD/WINDOWS/ROOFS,2951643.0,CIP,K208,4801 AVENUE D,Brooklyn,11203.0,BROOKLYN ,"(40.642031, -73.931151)",40.642031,-73.931151,17.0,45.0,840.0,3105680.0,3047690025.0,East Flatbush-Farragut                                                     
451,P.S. 212 - BROOKLYN,K,21,EXT MASONRY - WATER PENETRATION/PARAPETS/ROOFS/WIN,12527000.0,CIP,K212,87 BAY 49 STREET,Brooklyn,11214.0,BROOKLYN ,"(40.587616, -73.985948)",40.587616,-73.985948,13.0,47.0,314.0,3187407.0,3069170001.0,Gravesend                                                                  
452,P.S. 214 - BROOKLYN,K,19,TCU REMOVAL AND PLAYGROUND REDEVELOPMENT,2931500.0,CIP,K214,2944 PITKIN AVENUE,Brooklyn,11208.0,BROOKLYN ,"(40.676513, -73.863151)",40.676513,-73.863151,5.0,37.0,1202.0,3095254.0,3042430001.0,Cypress Hills-City Line                                                    
453,P.S. 217 - BROOKLYN,K,22,EXT MASONRY/FLOOD/WINDOWS/PARAPETS,10807450.0,CIP,K217,1100 NEWKIRK AVENUE,Brooklyn,11230.0,BROOKLYN ,"(40.63398, -73.966558)",40.63398,-73.966558,14.0,40.0,526.0,3121072.0,3052320001.0,Flatbush                                                                   
454,I.S. 218 - BROOKLYN,K,19,WATER PENETRATION/EXT MASONRY,2606000.0,CIP,K218,370 FOUNTAIN AVENUE,Brooklyn,11208.0,BROOKLYN ,"(40.670724, -73.874208)",40.670724,-73.874208,5.0,42.0,1118.0,3095977.0,3042780001.0,East New York                                                              
455,P.S. 219 - BROOKLYN,K,18,WATER INFILTRATION/ROOFS/EXT MASONRY/PARAPETS,18388000.0,CIP,K219,1060 CLARKSON AVENUE,Brooklyn,11212.0,BROOKLYN ,"(40.659288, -73.922919)",40.659288,-73.922919,17.0,41.0,886.0,3101168.0,3046480001.0,Rugby-Remsen Village                                                       
456,URBN ASSY SCHL CRIM JUSTICE -,K,20,SCIENCE LAB UPGRADE,1218000.0,CIP,K223,4200 16 AVENUE,Brooklyn,11204.0,BROOKLYN ,"(40.634875, -73.981528)",40.634875,-73.981528,12.0,44.0,230.0,3125676.0,3053620021.0,Borough Park                                                               
457,P.S. 225 - BROOKLYN,K,21,FLOOD ELMNTN/ROOFS/EXTERIOR MASONRY/PARAPETS,8677000.0,CIP,K225,1075 OCEAN VIEW AVENUE,Brooklyn,11235.0,BROOKLYN ,"(40.579737, -73.956329)",40.579737,-73.956329,13.0,48.0,61004.0,3245498.0,3087120056.0,Brighton Beach                                                             
458,P.S. 233 - BROOKLYN,K,18,MASONRY/CORRODED BEAMS/ROOFS/PARAPETS,6285000.0,CIP,K233,9301 AVENUE B,Brooklyn,11236.0,BROOKLYN ,"(40.651022, -73.91402)",40.651022,-73.91402,17.0,42.0,930.0,3104990.0,3047530001.0,Rugby-Remsen Village                                                       
459,P.S. 235 - BROOKLYN,K,18,TCU REMOVAL AND PLAYGROUND,2000000.0,CIP,K235,525 LENOX ROAD,Brooklyn,11203.0,BROOKLYN ,"(40.654704, -73.941089)",40.654704,-73.941089,17.0,41.0,814.0,3107846.0,3048440001.0,East Flatbush-Farragut                                                     
461,P.S. 238 - BROOKLYN,K,21,EXTERIOR MASONRY/PARAPETS,6960000.0,CIP,K238,1633 EAST 8 STREET,Brooklyn,11223.0,BROOKLYN ,"(40.608862, -73.965058)",40.608862,-73.965058,15.0,44.0,420.0,3176229.0,3066400013.0,Homecrest                                                                  
462,P.S. 249 - BROOKLYN,K,17,LOW VOLT/PLANYC CLIMATE CTRL/PLANYC BOILER CONV,7867000.0,CIP,K249,18 MARLBOROUGH ROAD,Brooklyn,11226.0,BROOKLYN ,"(40.64971, -73.966046)",40.64971,-73.966046,14.0,40.0,506.0,3116438.0,3050750001.0,Flatbush                                                                   
463,MIDDLE SCHOOL FOR ART & PHILOS,K,18,PLANYC BOILER CONVERSION/CLIMATE CONTROL,7375000.0,CIP,K252,1084 LENOX ROAD,Brooklyn,11212.0,BROOKLYN ,"(40.658295, -73.920109)",40.658295,-73.920109,17.0,41.0,886.0,3101840.0,3046690037.0,Rugby-Remsen Village                                                       
466,I.S. 259 - BROOKLYN,K,20,CRACKED EXTERIOR MASONRY/ROOFS/PARAPETS,10786000.0,CIP,K259,7305 FT HAMILTON PKWY,Brooklyn,11228.0,BROOKLYN ,"(40.62668, -74.01512)",40.62668,-74.01512,10.0,43.0,206.0,3148031.0,3059230001.0,Dyker Heights                                                              
467,I.S. 259 - BROOKLYN,K,20,PLANYC BOILER CONVERSION/CLIMATE CTRL,6758000.0,CIP,K259,7305 FT HAMILTON PKWY,Brooklyn,11228.0,BROOKLYN ,"(40.62668, -74.01512)",40.62668,-74.01512,10.0,43.0,206.0,3148031.0,3059230001.0,Dyker Heights                                                              
468,I.S. 265 - BROOKLYN,K,13,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,5359400.0,CIP,K265,101 PARK AVENUE,Brooklyn,11205.0,BROOKLYN ,"(40.696324, -73.97578)",40.696324,-73.97578,2.0,35.0,211.0,3057942.0,3020280001.0,Fort Greene                                                                
469,P.S. 279 - BROOKLYN,K,18,SANDY:INTERIOR/HEAT/ELEC/FLOOD/ELEVATOR/HVAC/FA,21599000.0,CIP,K279,1070 EAST 104 STREET,Brooklyn,11236.0,BROOKLYN ,"(40.644203, -73.892264)",40.644203,-73.892264,18.0,46.0,986.0,3326733.0,3082300001.0,Canarsie                                                                   
