,School Name,BoroughCode,Geographical District,Project Description,Construction Award,Project type,Building ID,Building Address,City,Postcode,Borough,Location 1,Latitude,Longitude,Community Board,Community Council ,Census Tract,BIN,BBL,NTA
275,WILLIAM C. BRYANT HS - QUEENS,Q,30,TCU REMOVAL & PLAYGROUND REDEVELOPMENT,2499000.0,CIP,Q445,48-10 31 AVENUE,Queens,11103.0,QUEENS   ,"(40.75823, -73.910514)",40.75823,-73.910514,1.0,26.0,163.0,4013655.0,4007380002.0,Astoria                                                                    
276,LONG ISLAND CITY HS - Q,Q,30,FIRE ALARM SYSTEM/BUILDING MGMT SYSTEM,18432800.0,CIP,Q452,14-30 BROADWAY,Queens,11106.0,QUEENS   ,"(40.765826, -73.9328)",40.765826,-73.9328,1.0,22.0,45.0,4467709.0,4005290002.0,Astoria                                                                    
278,AVIATION HS - QUEENS,Q,24,FUEL FIRE/ROOFS/PARAPETS/MASONRY/FLOOD/GYM UPG/WIN,17941252.0,CIP,Q610,45-30 36 STREET,Queens,11101.0,QUEENS   ,"(40.743509, -73.929076)",40.743509,-73.929076,2.0,26.0,179.0,4436685.0,4002260001.0,Hunters Point-Sunnyside-West Maspeth                                       
282,P.S. 106 - QUEENS,Q,27,DEMOLITION & PAVED AREA/TCU REMOVAL PLAYGROUND RED,2482000.0,CIP,Q806,180 BEACH 35 STREET,Queens,11691.0,QUEENS   ,"(40.593779, -73.767199)",40.593779,-73.767199,14.0,31.0,992.0,4441244.0,4158610035.0,Hammels-Arverne-Edgemere                                                   
285,P.S. 43 - QUEENS,Q,27,SANDY INTERIOR SPACES/SANDY FLOOD ELIMINATION,3290000.0,CIP,Q907,12 MARVIN STREET,Queens,11691.0,QUEENS   ,"(40.59359, -73.760448)",40.59359,-73.760448,14.0,31.0,99802.0,4531136.0,4158190148.0,Far Rockaway-Bayswater                                                     
286,P.S. 1 - STATEN ISLAND,R,31,EXTERIOR MASONRY/PARAPETS/ROOFS/WINDOWS,11891000.0,CIP,R001,58 SUMMIT STREET,Staten Island,10307.0,STATEN IS,"(40.509037, -74.244118)",40.509037,-74.244118,3.0,51.0,24401.0,5107854.0,5078980001.0,Charleston-Richmond Valley-Tottenville                                     
289,P.S. 19 - STATEN ISLAND,R,31,PARAPETS/FLOOD/AREAWAY WINDOWS/EXT MASONRY,4814365.81,CIP,R019,780 POST AVENUE,Staten Island,10310.0,STATEN IS,"(40.631214, -74.127101)",40.631214,-74.127101,1.0,49.0,141.0,5006175.0,5002270024.0,West New Brighton-New Brighton-St. George                                  
290,P.S. 29 - STATEN ISLAND,R,31,EXTERIOR MASONRY/ROOFS/PARAPETS,3790030.0,CIP,R029,1581 VICTORY BLVD,Staten Island,10314.0,STATEN IS,"(40.613604, -74.115988)",40.613604,-74.115988,1.0,50.0,147.0,5009028.0,5003310001.0,Westerleigh                                                                
292,I.S. 34 - STATEN ISLAND,R,31,FULL PROGRAM ACCESSIBILITY/FIRE ALARM SYSTEM,11177000.0,CIP,R034,528 ACADEMY AVE,Staten Island,10307.0,STATEN IS,"(40.508284, -74.243428)",40.508284,-74.243428,3.0,51.0,24401.0,5088090.0,5078940001.0,Charleston-Richmond Valley-Tottenville                                     
293,P.S. 35 - STATEN ISLAND,R,31,FY14 RESO A ATHLETIC FIELDS,1280000.0,CIP,R035,60 FOOTE AVENUE,Staten Island,10301.0,STATEN IS,"(40.613721, -74.099626)",40.613721,-74.099626,1.0,49.0,47.0,5015603.0,5006100127.0,Grymes Hill-Clifton-Fox Hills                                              
294,P.S. 35 - STATEN ISLAND,R,31,HEATING PLANT/CLIMATE CONTROL,3738000.0,CIP,R035,60 FOOTE AVENUE,Staten Island,10301.0,STATEN IS,"(40.613721, -74.099626)",40.613721,-74.099626,1.0,49.0,47.0,5015603.0,5006100127.0,Grymes Hill-Clifton-Fox Hills                                              
295,P.S. 41 - STATEN ISLAND,R,31,MAIN ELECTRICAL SERVICE/LOW VOLTAGE ELEC SYSTEM,1649000.0,CIP,R041,216 CLAWSON STREET,Staten Island,10306.0,STATEN IS,"(40.574044, -74.109282)",40.574044,-74.109282,2.0,50.0,122.0,5052791.0,5036450007.0,New Dorp-Midland Beach                                                     
296,CSI HS FOR INTERNATIONAL STUDI,R,31,PLAYGROUND REDEVELOPMENT,2923000.0,CIP,R043,100 ESSEX DRIVE,Staten Island,10314.0,STATEN IS,"(40.581315, -74.158589)",40.581315,-74.158589,2.0,51.0,27702.0,5149609.0,5024500320.0,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   
297,P.S. 44 - STATEN ISLAND,R,31,EXTERIOR MASONRY/PARAPETS/ROOFS/WINDOWS,9777000.0,CIP,R044,80 MAPLE PARKWAY,Staten Island,10303.0,STATEN IS,"(40.63179, -74.156439)",40.63179,-74.156439,1.0,49.0,231.0,5027641.0,5012180001.0,Mariner's Harbor-Arlington-Port Ivory-Graniteville                         
298,P.S. 44 - STATEN ISLAND,R,31,REPAIR-CERTIFICATE OF OCCUPANCY,1270000.0,CIP,R044,80 MAPLE PARKWAY,Staten Island,10303.0,STATEN IS,"(40.63179, -74.156439)",40.63179,-74.156439,1.0,49.0,231.0,5027641.0,5012180001.0,Mariner's Harbor-Arlington-Port Ivory-Graniteville                         
299,P.S. 45 - STATEN ISLAND,R,31,ROOFS/PARAPETS /EXTERIOR MASONRY/FLOOD ELIMINATION,11349891.0,CIP,R045,58 LAWRENCE AVENUE,Staten Island,10310.0,STATEN IS,"(40.628558, -74.107148)",40.628558,-74.107148,1.0,49.0,121.0,5007417.0,5002760007.0,New Brighton-Silver Lake                                                   
302,P.S. 52 - STATEN ISLAND,R,31,REPAIR-C OF O/SANDY-FLOOD/SAFETY/HEAT/VENT/INT/ELE,16941000.0,CIP,R052,450 BUEL AVENUE,Staten Island,10305.0,STATEN IS,"(40.582744, -74.088509)",40.582744,-74.088509,2.0,50.0,11201.0,5053746.0,5037050001.0,Old Town-Dongan Hills-South Beach                                          
305,CURTIS HS - STATEN ISLAND,R,31,BRIDGE & REPAIR WK/PARAPETS/WASTE SYS/WINDOWS/ROOF,12443000.0,CIP,R450,105 HAMILTON AVENUE,Staten Island,10301.0,STATEN IS,"(40.644735, -74.081222)",40.644735,-74.081222,1.0,49.0,7.0,5106483.0,5000220001.0,West New Brighton-New Brighton-St. George                                  
306,TOTTENVILLE HS - STATEN ISLAND,R,31,FY 16 RESO A WIRING UPGRADE,1335000.0,CIP,R455,100 LUTEN AVENUE,Staten Island,10312.0,STATEN IS,"(40.528092, -74.192032)",40.528092,-74.192032,3.0,51.0,198.0,5082634.0,5066130001.0,Annadale-Huguenot-Prince's Bay-Eltingville                                 
309,P.S. 80 - STATEN ISLAND,R,31,PAVED AREAS,2856387.3,CIP,R885,715 OCEAN TERRACE,Staten Island,10301.0,STATEN IS,"(40.608517, -74.102078)",40.608517,-74.102078,2.0,50.0,177.0,5113169.0,5006830001.0,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   
310,P.S. 9 - BRONX,X,10,PLANYC BOILER CNVSN/PLANYC CLIMATE CTRL,6542000.0,CIP,X009,230 EAST 183 STREET,Bronx,10458.0,BRONX    ,"(40.857067, -73.898936)",40.857067,-73.898936,5.0,15.0,38301.0,2013561.0,2031500010.0,Fordham South                                                              
311,P.S. 25 - BRONX,X,7,EXTERIOR MASONRY/PARAPETS/ROOFS/WINDOWS,11840000.0,CIP,X025,811 EAST 149 STREET,Bronx,10455.0,BRONX    ,"(40.812619, -73.906063)",40.812619,-73.906063,1.0,8.0,79.0,2004772.0,2026640001.0,Melrose South-Mott Haven North                                             
312,P.S. 396 - BRONX,X,10,PLANYC BOILER CNVSN/PLANYC CLIMATE CTRL,5386000.0,CIP,X026,1930 ANDREWS AVENUE,Bronx,10453.0,BRONX    ,"(40.854701, -73.913197)",40.854701,-73.913197,5.0,14.0,24502.0,2014692.0,2032160002.0,University Heights-Morris Heights                                          
313,P.S. 32 - BRONX,X,10,EXTERIOR MASONRY/WINDOWS/PARAPETS,6239400.0,CIP,X032,690 EAST 183 STREET,Bronx,10458.0,BRONX    ,"(40.852103, -73.885935)",40.852103,-73.885935,6.0,15.0,391.0,2012409.0,2030850001.0,Belmont                                                                    
314,P.S. 33 - BRONX,X,10,PLANYC BOILER CNVSN/PLANYC CLIMATE CTRL,4829000.0,CIP,X033,2424 JEROME AVENUE,Bronx,10468.0,BRONX    ,"(40.86185, -73.90176)",40.86185,-73.90176,5.0,14.0,239.0,2014099.0,2031880020.0,Fordham South                                                              
315,P.S. 36 - BRONX,X,8,EXT MASONRY/ROOFS/PARAPETS/WINDOWS/EXT DOORS/FLOOD,12843000.0,CIP,X036,1070 CASTLE HILL AVENUE,Bronx,10472.0,BRONX    ,"(40.829344, -73.850428)",40.829344,-73.850428,9.0,18.0,78.0,2026706.0,2038170001.0,Westchester-Unionport                                                      
316,P.S. 212 - BRONX,X,12,RENEWAL SBHC,1915000.0,CIP,X198,1180 TINTON AVENUE,Bronx,10456.0,BRONX    ,"(40.828419, -73.900721)",40.828419,-73.900721,3.0,17.0,135.0,2004869.0,2026720001.0,Morrisania-Melrose                                                         
317,P.S. 47 - BRONX,X,12,ROOFS/PARAPETS/MASONRY/FLOOD,9142000.0,CIP,X047,1794 EAST 172 STREET,Bronx,10472.0,BRONX    ,"(40.832902, -73.866848)",40.832902,-73.866848,9.0,18.0,76.0,2025622.0,2037860016.0,West Farms-Bronx River                                                     
318,P.S. 48 - BRONX,X,8,FULL ACCESSIBILITY,9100000.0,CIP,X048,1290 SPOFFORD AVENUE,Bronx,10474.0,BRONX    ,"(40.814425, -73.886953)",40.814425,-73.886953,2.0,17.0,93.0,2006680.0,2027660001.0,Hunts Point                                                                
319,P.S. 66 - BRONX,X,12,RENEWAL SCHOOL BASED HEALTH CENTER,1794786.0,CIP,X066,1001 JENNINGS STREET,Bronx,10460.0,BRONX    ,"(40.831165, -73.887094)",40.831165,-73.887094,3.0,17.0,157.0,2010916.0,2030080001.0,Crotona Park East                                                          
320,P.S. 70 - BRONX,X,9,EXT MASONRY/ROOFS/PARAPETS,6431300.0,CIP,X070,1691 WEEKS AVENUE,Bronx,10457.0,BRONX    ,"(40.844253, -73.907616)",40.844253,-73.907616,4.0,15.0,22902.0,2007387.0,2027930028.0,Mount Hope                                                                 
322,I.S. 80 - BRONX,X,10,ACCESSIBILITY,2583000.0,CIP,X080,149 EAST MOSHOLU PKWY N,Bronx,10467.0,BRONX    ,"(40.876299, -73.881532)",40.876299,-73.881532,7.0,11.0,419.0,2018046.0,2033360035.0,Norwood                                                                    
323,P.S. 81 - BRONX,X,10,WINDOW/ROOFS/EXT MASONRY/FLOOD,3147559.0,CIP,X081,5550 RIVERDALE AVENUE,Bronx,10471.0,BRONX    ,"(40.903553, -73.905229)",40.903553,-73.905229,8.0,11.0,337.0,2084806.0,2058501550.0,North Riverdale-Fieldston-Riverdale                                        
324,I.S. 232 - BRONX,X,9,OIL VAULT & STAIRWAY/PIPING/TOILETS/FLOOD,8819000.0,CIP,X082,1700 MACOMBS ROAD,Bronx,10453.0,BRONX    ,"(40.849623, -73.91607)",40.849623,-73.91607,5.0,14.0,21502.0,2008460.0,2028660070.0,University Heights-Morris Heights                                          
325,I.S. 113 - BRONX,X,11,FUEL OIL TANK LEAKAGE/CLIMATE CTRL,5677330.0,CIP,X113,3710 BARNES AVENUE,Bronx,10467.0,BRONX    ,"(40.880873, -73.860904)",40.880873,-73.860904,12.0,12.0,390.0,2058396.0,2046750020.0,Williamsbridge-Olinville                                                   
326,I.S. 123 - BRONX,X,8,RENEWAL SCHOOL BASED HEALTH CENTER,1950000.0,CIP,X123,1025 MORRISON AVENUE,Bronx,10472.0,BRONX    ,"(40.825403, -73.873666)",40.825403,-73.873666,9.0,18.0,48.0,2087014.0,2037180001.0,Soundview-Bruckner                                                         
327,I.S. 125 - BRONX,X,8,LIGHTING REPLACEMENT (DCAS),1300019.0,CIP,X125,1111 PUGSLEY AVENUE,Bronx,10472.0,BRONX    ,"(40.829232, -73.856734)",40.829232,-73.856734,9.0,18.0,4001.0,2025717.0,2037900040.0,Soundview-Bruckner                                                         
328,I.S. 322 - BRONX,X,11,PERMANENT REPAIRS (CEILING TILES),2787000.0,CIP,X135,2441 WALLACE AVENUE,Bronx,10467.0,BRONX    ,"(40.862109, -73.864577)",40.862109,-73.864577,11.0,13.0,330.0,2051313.0,2044320001.0,Bronxdale                                                                  
329,X186 SPED - BRONX,X,12,PARAPET/FLOOD ELIM/EXT MASONRY/ROOFS,11642000.0,CIP,X136,750 JENNINGS STREET,Bronx,10459.0,BRONX    ,"(40.83182, -73.898075)",40.83182,-73.898075,3.0,16.0,151.0,2010344.0,2029690001.0,Morrisania-Melrose                                                         
330,I.S. 391 - BRONX,X,10,RENEWAL SBHC,2068500.0,CIP,X137,2225 WEBSTER AVENUE,Bronx,10457.0,BRONX    ,"(40.854493, -73.896717)",40.854493,-73.896717,5.0,15.0,379.0,2013307.0,2031430043.0,Mount Hope                                                                 
331,I.S. 244 - BRONX,X,10,ACCESS RAMP & WALL/FLOOD/ROOFS/PARAPETS,4745900.0,CIP,X143,120 WEST 231 STREET,Bronx,10463.0,BRONX    ,"(40.875911, -73.901099)",40.875911,-73.901099,8.0,14.0,273.0,2015547.0,2032530141.0,Van Cortlandt Village                                                      
332,I.S. 144 - BRONX,X,11,PLANYC BOILER CONVERSION/CLIMATE CONTROL,5423000.0,CIP,X144,2545 GUNTHER AVENUE,Bronx,10469.0,BRONX    ,"(40.863735, -73.83607)",40.863735,-73.83607,11.0,13.0,310.0,2053518.0,2044930001.0,Allerton-Pelham Gardens                                                    
334,I.S. 339 - BRONX,X,9,RENEWAL SCHOOL BASED HEALTH CENTER,1920000.0,CIP,X147,1600 WEBSTER AVENUE,Bronx,10457.0,BRONX    ,"(40.840878, -73.904754)",40.840878,-73.904754,3.0,16.0,167.0,2009400.0,2028970005.0,Claremont-Bathgate                                                         
335,BRONX EARLY COLLEGE ACADEMY,X,9,SCIENCE LAB UPGRADE,2889000.0,CIP,X166,250 EAST 164 STREET,Bronx,10456.0,BRONX    ,"(40.828696, -73.917668)",40.828696,-73.917668,4.0,16.0,18302.0,2002497.0,2024460043.0,East Concourse-Concourse Village                                           
336,P.S. 236 - BRONX,X,9,FALLING COPING STONES/EXT MASONRY,2589000.0,CIP,X173,1871 WALTON AVENUE,Bronx,10453.0,BRONX    ,"(40.848899, -73.909528)",40.848899,-73.909528,5.0,14.0,23301.0,2098479.0,2028510021.0,Mount Hope                                                                 
338,P.S. 230 - BRONX,X,9,SEWAGE LEAK/FIRE SYS SPRINKLER/CRACKED CONCRETE/FA,14230000.0,CIP,X229,275 HARLEM RIVER PARK BRIDGE,Bronx,10453.0,BRONX    ,"(40.852536, -73.921467)",40.852536,-73.921467,5.0,16.0,53.0,2009253.0,2028820130.0,University Heights-Morris Heights                                          
339,I.S. 254 - BRONX,X,10,FACADE/ROOFS,3600000.0,CIP,X254,2452 WASHINGTON AVENUE,Bronx,10458.0,BRONX    ,"(40.858815, -73.890232)",40.858815,-73.890232,6.0,15.0,387.0,2103863.0,2030580003.0,Belmont                                                                    
340,MORRIS H.S.,X,9,CERTIFICATE OF OCCUPANCY,5229000.0,CIP,X400,1110 BOSTON RD,Bronx,10456.0,BRONX    ,"(40.827642, -73.904473)",40.827642,-73.904473,3.0,16.0,135.0,2004526.0,2026340001.0,Morrisania-Melrose                                                         
341,HERBERT H. LEHMAN HS - X,X,11,SANDY ELEC/HEAT/FLOOD/CLIM/SINK HOLES/PLUMBING,29723000.0,CIP,X405,3000 EAST TREMONT AVENUE,Bronx,10461.0,BRONX    ,"(40.840702, -73.838545)",40.840702,-73.838545,10.0,13.0,194.0,2074045.0,2053680001.0,Schuylerville-Throgs Neck-Edgewater Park                                   
342,CHRISTOPHER COLUMBUS HS - X,X,11,PARAPETS/ROOFS/EXT MASONRY,5577000.0,CIP,X415,925 ASTOR AVENUE,Bronx,10469.0,BRONX    ,"(40.859665, -73.861006)",40.859665,-73.861006,11.0,13.0,324.0,2050179.0,2043580001.0,Bronxdale                                                                  
343,MONROE ACAD FOR VISUAL ARTS -,X,12,BOILER/CLIMATE CONTROL/WATER INFILTRATION,8511800.0,CIP,X420,1300 BOYNTON AVENUE,Bronx,10472.0,BRONX    ,"(40.831601, -73.878912)",40.831601,-73.878912,9.0,18.0,56.0,2027459.0,2038640001.0,West Farms-Bronx River                                                     
345,M.S./H.S. 342 - BRONX,X,10,BOILER FOR SWIMMING,2152000.0,CIP,X430,2780 RESERVOIR AVENUE,Bronx,10468.0,BRONX    ,"(40.870293, -73.898309)",40.870293,-73.898309,7.0,11.0,409.0,2015241.0,2032470070.0,Van Cortlandt Village                                                      
346,I.S. 243 - BRONX,X,10,ROOFS/PARAPETS/EXT MASONRY/WINDOWS,50553000.0,CIP,X435,500 EAST FORDHAM ROAD,Bronx,10458.0,BRONX    ,"(40.860043, -73.888267)",40.860043,-73.888267,6.0,15.0,387.0,2011810.0,2030590001.0,Belmont                                                                    
347,DEWITT CLINTON HS - X,X,10,EXTERIOR MASONRY/FLOOD ELIMINATION/PARAPETS/ROOF,27189000.0,CIP,X440,100 W MOSHOLU PKWY S,Bronx,10468.0,BRONX    ,"(40.882178, -73.88691)",40.882178,-73.88691,7.0,11.0,409.0,2095215.0,2032510201.0,Van Cortlandt Village                                                      
348,BRONX HS OF SCIENCE - X,X,10,ROOF REPLACEMENT/PARAPETS,8985000.0,CIP,X445,75 W 205 STREET,Bronx,10468.0,BRONX    ,"(40.87759, -73.89104)",40.87759,-73.89104,7.0,11.0,409.0,2094706.0,2032510201.0,Van Cortlandt Village                                                      
349,JOHN F. KENNEDY HS - BRONX,X,10,SCIENCE LAB UPGRADE,5547000.0,CIP,X475,99 TERRACE VIEW AVENUE,Bronx,10463.0,BRONX    ,"(40.877105, -73.912256)",40.877105,-73.912256,8.0,10.0,309.0,1064532.0,1022150080.0,Marble Hill-Inwood                                                         
350,MARBLE HILL INTERNATIONAL HS -,X,10,EXT MASONRY/SCIENCE LAB UPG/INTERIOR SPACES,10711000.0,CIP,X475,99 TERRACE VIEW AVENUE,Bronx,10463.0,BRONX    ,"(40.877105, -73.912256)",40.877105,-73.912256,8.0,10.0,309.0,1064532.0,1022150080.0,Marble Hill-Inwood                                                         
352,X721 SPED - BRONX,X,11,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,5390630.0,CIP,X722,2697 WESTCHESTER AVENUE,Bronx,10461.0,BRONX    ,"(40.842289, -73.838949)",40.842289,-73.838949,11.0,13.0,284.0,2045725.0,2041330200.0,Van Nest-Morris Park-Westchester Square                                    
353,P.S. 226 - BRONX,X,10,DEFECTIVE MASONRY/ROOFS/FLOOD ELIMINATION,2787000.0,CIP,X826,1950 SEDGWICK AVENUE,Bronx,10453.0,BRONX    ,"(40.856586, -73.916198)",40.856586,-73.916198,5.0,14.0,249.0,2096465.0,2032220100.0,University Heights-Morris Heights                                          
354,P.S. 226 - BRONX,X,10,FY08 RESO A GYM UPGRADE,4800000.0,CIP,X827,1910 SEDGWICK AVENUE,Bronx,10453.0,BRONX    ,"(40.855944, -73.916358)",40.855944,-73.916358,5.0,14.0,249.0,2096465.0,2032220100.0,University Heights-Morris Heights                                          
355,P.S. 246 - BRONX,X,10,ELEVATOR/EXT MASONRY/FLOOD/PARAPETS/ROOFS/WALL,11448000.0,CIP,X843,2641 GRAND CONCOURSE,Bronx,10468.0,BRONX    ,"(40.865593, -73.894758)",40.865593,-73.894758,7.0,14.0,401.0,2013830.0,2031680027.0,Bedford Park-Fordham North                                                 
